RouteID,CustomerId,StopSequence,ETA,ETD
f4fbf986-6e40-43bc-b96f-384bc5d7162c,21258,1,16:00:00,17:00:00
74b1e790-7799-4409-92b4-9d63910af6ff,21222,1,10:28:00,11:28:00
74b1e790-7799-4409-92b4-9d63910af6ff,21266,1,11:33:00,12:33:00
74b1e790-7799-4409-92b4-9d63910af6ff,21299,1,12:38:00,13:38:00
74b1e790-7799-4409-92b4-9d63910af6ff,21286,1,13:44:00,14:44:00
74b1e790-7799-4409-92b4-9d63910af6ff,22355,1,14:49:00,15:49:00
74b1e790-7799-4409-92b4-9d63910af6ff,21321,1,16:00:00,17:00:00
1518dd18-6689-420e-9027-1ff6f384c5ca,21278,1,07:55:00,08:55:00
1518dd18-6689-420e-9027-1ff6f384c5ca,21273,1,08:55:00,09:55:00
1518dd18-6689-420e-9027-1ff6f384c5ca,21267,1,10:15:00,11:15:00
1518dd18-6689-420e-9027-1ff6f384c5ca,21284,1,11:24:00,12:24:00
1518dd18-6689-420e-9027-1ff6f384c5ca,22684,1,12:24:00,13:24:00
1518dd18-6689-420e-9027-1ff6f384c5ca,22696,1,13:36:00,14:36:00
1518dd18-6689-420e-9027-1ff6f384c5ca,22667,1,14:47:00,15:47:00
1518dd18-6689-420e-9027-1ff6f384c5ca,22676,1,16:00:00,17:00:00
efbc5344-490c-4ee2-bb5a-64af34dcb841,21349,1,07:33:00,08:33:00
efbc5344-490c-4ee2-bb5a-64af34dcb841,21328,1,08:38:00,09:38:00
efbc5344-490c-4ee2-bb5a-64af34dcb841,21348,1,09:39:00,10:39:00
efbc5344-490c-4ee2-bb5a-64af34dcb841,21370,1,10:45:00,11:45:00
efbc5344-490c-4ee2-bb5a-64af34dcb841,21320,1,11:46:00,12:46:00
efbc5344-490c-4ee2-bb5a-64af34dcb841,21357,1,12:46:00,13:46:00
efbc5344-490c-4ee2-bb5a-64af34dcb841,21367,1,13:50:00,14:50:00
efbc5344-490c-4ee2-bb5a-64af34dcb841,21375,1,15:00:00,16:00:00
efbc5344-490c-4ee2-bb5a-64af34dcb841,21358,1,16:00:00,17:00:00
f620c511-7209-4ea7-8174-7971bba726f1,21383,1,08:15:00,09:15:00
f620c511-7209-4ea7-8174-7971bba726f1,21345,1,09:24:00,10:24:00
f620c511-7209-4ea7-8174-7971bba726f1,21306,1,10:38:00,11:38:00
f620c511-7209-4ea7-8174-7971bba726f1,21364,1,11:41:00,12:41:00
f620c511-7209-4ea7-8174-7971bba726f1,21322,1,12:46:00,13:46:00
f620c511-7209-4ea7-8174-7971bba726f1,21326,1,13:55:00,14:55:00
f620c511-7209-4ea7-8174-7971bba726f1,21333,1,14:55:00,15:55:00
f620c511-7209-4ea7-8174-7971bba726f1,21315,1,16:00:00,17:00:00
7de9877f-c0c5-42b3-b494-7f6ff35961d7,21307,1,07:57:00,08:57:00
7de9877f-c0c5-42b3-b494-7f6ff35961d7,21361,1,08:58:00,09:58:00
7de9877f-c0c5-42b3-b494-7f6ff35961d7,21356,1,10:01:00,11:01:00
7de9877f-c0c5-42b3-b494-7f6ff35961d7,21309,1,11:09:00,12:09:00
7de9877f-c0c5-42b3-b494-7f6ff35961d7,21382,1,12:24:00,13:24:00
7de9877f-c0c5-42b3-b494-7f6ff35961d7,21324,1,13:26:00,14:26:00
7de9877f-c0c5-42b3-b494-7f6ff35961d7,21381,1,14:49:00,15:49:00
7de9877f-c0c5-42b3-b494-7f6ff35961d7,21373,1,16:00:00,17:00:00
934e353e-5ebe-4509-8794-bb9feb4b81c8,21347,1,08:39:00,09:39:00
934e353e-5ebe-4509-8794-bb9feb4b81c8,21301,1,09:41:00,10:41:00
934e353e-5ebe-4509-8794-bb9feb4b81c8,21384,1,10:47:00,11:47:00
934e353e-5ebe-4509-8794-bb9feb4b81c8,21303,1,11:50:00,12:50:00
934e353e-5ebe-4509-8794-bb9feb4b81c8,21344,1,12:50:00,13:50:00
934e353e-5ebe-4509-8794-bb9feb4b81c8,21336,1,13:54:00,14:54:00
934e353e-5ebe-4509-8794-bb9feb4b81c8,21351,1,14:58:00,15:58:00
934e353e-5ebe-4509-8794-bb9feb4b81c8,21352,1,16:00:00,17:00:00
df1ebe2a-410f-4fdf-a63c-f61d6d8d0dea,21325,1,10:51:00,11:51:00
df1ebe2a-410f-4fdf-a63c-f61d6d8d0dea,21376,1,11:51:00,12:51:00
df1ebe2a-410f-4fdf-a63c-f61d6d8d0dea,21372,1,12:53:00,13:53:00
df1ebe2a-410f-4fdf-a63c-f61d6d8d0dea,21304,1,13:53:00,14:53:00
df1ebe2a-410f-4fdf-a63c-f61d6d8d0dea,21335,1,14:57:00,15:57:00
df1ebe2a-410f-4fdf-a63c-f61d6d8d0dea,21323,1,16:00:00,17:00:00
03015298-3e40-4253-88e8-b1359a3ec7cf,21415,1,07:50:00,08:50:00
03015298-3e40-4253-88e8-b1359a3ec7cf,21480,1,08:54:00,09:54:00
03015298-3e40-4253-88e8-b1359a3ec7cf,21454,1,09:55:00,10:55:00
03015298-3e40-4253-88e8-b1359a3ec7cf,21496,1,10:55:00,11:55:00
03015298-3e40-4253-88e8-b1359a3ec7cf,21455,1,11:55:00,12:55:00
03015298-3e40-4253-88e8-b1359a3ec7cf,21425,1,12:58:00,13:58:00
