RouteID,CustomerId,StopSequence,ETA,ETD
ffd64853-f837-44a8-885d-b33aa19bb9b9,21277,1,08:42:00,09:42:00
ffd64853-f837-44a8-885d-b33aa19bb9b9,21292,1,09:42:00,10:42:00
ffd64853-f837-44a8-885d-b33aa19bb9b9,21274,1,10:43:00,11:43:00
ffd64853-f837-44a8-885d-b33aa19bb9b9,21293,1,11:44:00,12:44:00
ffd64853-f837-44a8-885d-b33aa19bb9b9,21223,1,12:44:00,13:44:00
ffd64853-f837-44a8-885d-b33aa19bb9b9,21298,1,13:51:00,14:51:00
ffd64853-f837-44a8-885d-b33aa19bb9b9,21288,1,14:57:00,15:57:00
ffd64853-f837-44a8-885d-b33aa19bb9b9,21268,1,16:00:00,17:00:00
f2f77baa-dc66-427e-a11c-25c857ab72c9,21279,1,07:33:00,08:33:00
f2f77baa-dc66-427e-a11c-25c857ab72c9,21287,1,08:33:00,09:33:00
f2f77baa-dc66-427e-a11c-25c857ab72c9,21228,1,09:33:00,10:33:00
f2f77baa-dc66-427e-a11c-25c857ab72c9,21256,1,10:41:00,11:41:00
f2f77baa-dc66-427e-a11c-25c857ab72c9,21249,1,11:45:00,12:45:00
f2f77baa-dc66-427e-a11c-25c857ab72c9,21278,1,12:56:00,13:56:00
f2f77baa-dc66-427e-a11c-25c857ab72c9,21273,1,13:56:00,14:56:00
f2f77baa-dc66-427e-a11c-25c857ab72c9,21334,1,15:00:00,16:00:00
f2f77baa-dc66-427e-a11c-25c857ab72c9,21341,1,16:00:00,17:00:00
de203527-a20f-4de2-b789-dcb42a1fa93d,21381,1,07:45:00,08:45:00
de203527-a20f-4de2-b789-dcb42a1fa93d,21373,1,08:56:00,09:56:00
de203527-a20f-4de2-b789-dcb42a1fa93d,21383,1,10:11:00,11:11:00
de203527-a20f-4de2-b789-dcb42a1fa93d,21286,1,11:27:00,12:27:00
de203527-a20f-4de2-b789-dcb42a1fa93d,21299,1,12:33:00,13:33:00
de203527-a20f-4de2-b789-dcb42a1fa93d,21222,1,13:43:00,14:43:00
de203527-a20f-4de2-b789-dcb42a1fa93d,21266,1,14:48:00,15:48:00
de203527-a20f-4de2-b789-dcb42a1fa93d,21321,1,16:00:00,17:00:00
214e70ed-f153-43cf-89f9-d53030750b24,21357,1,07:26:00,08:26:00
214e70ed-f153-43cf-89f9-d53030750b24,21320,1,08:26:00,09:26:00
214e70ed-f153-43cf-89f9-d53030750b24,21370,1,09:27:00,10:27:00
214e70ed-f153-43cf-89f9-d53030750b24,21348,1,10:33:00,11:33:00
214e70ed-f153-43cf-89f9-d53030750b24,21328,1,11:34:00,12:34:00
214e70ed-f153-43cf-89f9-d53030750b24,21349,1,12:39:00,13:39:00
214e70ed-f153-43cf-89f9-d53030750b24,21305,1,13:48:00,14:48:00
214e70ed-f153-43cf-89f9-d53030750b24,21354,1,14:50:00,15:50:00
214e70ed-f153-43cf-89f9-d53030750b24,21353,1,16:00:00,17:00:00
262f0ffc-3e1f-4555-9186-41b490fd1325,21374,1,09:23:00,10:23:00
262f0ffc-3e1f-4555-9186-41b490fd1325,21338,1,10:23:00,11:23:00
262f0ffc-3e1f-4555-9186-41b490fd1325,21316,1,11:33:00,12:33:00
262f0ffc-3e1f-4555-9186-41b490fd1325,21343,1,12:45:00,13:45:00
262f0ffc-3e1f-4555-9186-41b490fd1325,21355,1,13:48:00,14:48:00
262f0ffc-3e1f-4555-9186-41b490fd1325,21318,1,14:59:00,15:59:00
262f0ffc-3e1f-4555-9186-41b490fd1325,21308,1,16:00:00,17:00:00
93e2b2d9-a71d-4ae7-95e9-2e6474f70edd,21342,1,14:47:00,15:47:00
93e2b2d9-a71d-4ae7-95e9-2e6474f70edd,21350,1,16:00:00,17:00:00
f4b0a1de-0077-43bf-841e-78ff1715512f,21352,1,07:46:00,08:46:00
f4b0a1de-0077-43bf-841e-78ff1715512f,21351,1,08:48:00,09:48:00
f4b0a1de-0077-43bf-841e-78ff1715512f,21366,1,09:52:00,10:52:00
f4b0a1de-0077-43bf-841e-78ff1715512f,21346,1,10:52:00,11:52:00
f4b0a1de-0077-43bf-841e-78ff1715512f,21331,1,11:52:00,12:52:00
f4b0a1de-0077-43bf-841e-78ff1715512f,21379,1,12:55:00,13:55:00
f4b0a1de-0077-43bf-841e-78ff1715512f,21327,1,14:00:00,15:00:00
f4b0a1de-0077-43bf-841e-78ff1715512f,21311,1,15:00:00,16:00:00
f4b0a1de-0077-43bf-841e-78ff1715512f,21378,1,16:00:00,17:00:00
280f8d6d-fcbf-4bac-b69f-0a7ccffff794,21384,1,07:35:00,08:35:00
280f8d6d-fcbf-4bac-b69f-0a7ccffff794,21336,1,08:41:00,09:41:00
280f8d6d-fcbf-4bac-b69f-0a7ccffff794,21303,1,09:44:00,10:44:00
280f8d6d-fcbf-4bac-b69f-0a7ccffff794,21344,1,10:44:00,11:44:00
280f8d6d-fcbf-4bac-b69f-0a7ccffff794,21359,1,11:48:00,12:48:00
280f8d6d-fcbf-4bac-b69f-0a7ccffff794,21319,1,12:53:00,13:53:00
280f8d6d-fcbf-4bac-b69f-0a7ccffff794,21310,1,13:57:00,14:57:00
280f8d6d-fcbf-4bac-b69f-0a7ccffff794,21360,1,14:59:00,15:59:00
280f8d6d-fcbf-4bac-b69f-0a7ccffff794,21365,1,16:00:00,17:00:00
1b16e0ae-942f-47cd-9b0e-0dbbd58f814a,21382,1,08:39:00,09:39:00
1b16e0ae-942f-47cd-9b0e-0dbbd58f814a,21324,1,09:41:00,10:41:00
1b16e0ae-942f-47cd-9b0e-0dbbd58f814a,21323,1,10:50:00,11:50:00
1b16e0ae-942f-47cd-9b0e-0dbbd58f814a,21335,1,11:53:00,12:53:00
1b16e0ae-942f-47cd-9b0e-0dbbd58f814a,21372,1,12:57:00,13:57:00
1b16e0ae-942f-47cd-9b0e-0dbbd58f814a,21304,1,13:57:00,14:57:00
1b16e0ae-942f-47cd-9b0e-0dbbd58f814a,21376,1,15:00:00,16:00:00
1b16e0ae-942f-47cd-9b0e-0dbbd58f814a,21325,1,16:00:00,17:00:00
eae91aa2-f200-4d7f-985c-d34622a7825b,21332,1,07:29:00,08:29:00
eae91aa2-f200-4d7f-985c-d34622a7825b,21302,1,08:30:00,09:30:00
eae91aa2-f200-4d7f-985c-d34622a7825b,21362,1,09:36:00,10:36:00
eae91aa2-f200-4d7f-985c-d34622a7825b,21317,1,10:37:00,11:37:00
eae91aa2-f200-4d7f-985c-d34622a7825b,21345,1,11:45:00,12:45:00
eae91aa2-f200-4d7f-985c-d34622a7825b,21330,1,12:51:00,13:51:00
eae91aa2-f200-4d7f-985c-d34622a7825b,21377,1,13:53:00,14:53:00
eae91aa2-f200-4d7f-985c-d34622a7825b,21339,1,14:56:00,15:56:00
eae91aa2-f200-4d7f-985c-d34622a7825b,21314,1,16:00:00,17:00:00
4c4b9f61-2e8d-4c51-bef6-98c7a8c35ba1,21340,1,07:12:00,08:12:00
4c4b9f61-2e8d-4c51-bef6-98c7a8c35ba1,21337,1,08:15:00,09:15:00
4c4b9f61-2e8d-4c51-bef6-98c7a8c35ba1,21363,1,09:15:00,10:15:00
4c4b9f61-2e8d-4c51-bef6-98c7a8c35ba1,21369,1,10:22:00,11:22:00
4c4b9f61-2e8d-4c51-bef6-98c7a8c35ba1,21371,1,11:31:00,12:31:00
4c4b9f61-2e8d-4c51-bef6-98c7a8c35ba1,21312,1,12:44:00,13:44:00
4c4b9f61-2e8d-4c51-bef6-98c7a8c35ba1,21367,1,13:50:00,14:50:00
4c4b9f61-2e8d-4c51-bef6-98c7a8c35ba1,21375,1,15:00:00,16:00:00
4c4b9f61-2e8d-4c51-bef6-98c7a8c35ba1,21358,1,16:00:00,17:00:00
027c458e-fa58-4eb0-9eee-70448b1f9b3d,21240,1,08:38:00,09:38:00
027c458e-fa58-4eb0-9eee-70448b1f9b3d,21225,1,09:41:00,10:41:00
027c458e-fa58-4eb0-9eee-70448b1f9b3d,21260,1,10:45:00,11:45:00
027c458e-fa58-4eb0-9eee-70448b1f9b3d,21246,1,11:47:00,12:47:00
027c458e-fa58-4eb0-9eee-70448b1f9b3d,21248,1,12:51:00,13:51:00
027c458e-fa58-4eb0-9eee-70448b1f9b3d,21254,1,13:55:00,14:55:00
027c458e-fa58-4eb0-9eee-70448b1f9b3d,21253,1,14:56:00,15:56:00
027c458e-fa58-4eb0-9eee-70448b1f9b3d,21239,1,16:00:00,17:00:00
1c8264fc-f934-46c8-bfb9-bd7834911327,21459,1,07:53:00,08:53:00
1c8264fc-f934-46c8-bfb9-bd7834911327,21409,1,09:17:00,10:17:00
1c8264fc-f934-46c8-bfb9-bd7834911327,21434,1,10:22:00,11:22:00
1c8264fc-f934-46c8-bfb9-bd7834911327,21519,1,11:28:00,12:28:00
1c8264fc-f934-46c8-bfb9-bd7834911327,21514,1,12:35:00,13:35:00
1c8264fc-f934-46c8-bfb9-bd7834911327,21495,1,13:36:00,14:36:00
1c8264fc-f934-46c8-bfb9-bd7834911327,21406,1,14:44:00,15:44:00
1c8264fc-f934-46c8-bfb9-bd7834911327,21471,1,16:00:00,17:00:00
e5d01edf-e06a-4921-a147-d85aa2c9a28a,21407,1,07:42:00,08:42:00
e5d01edf-e06a-4921-a147-d85aa2c9a28a,21418,1,08:46:00,09:46:00
e5d01edf-e06a-4921-a147-d85aa2c9a28a,21492,1,09:48:00,10:48:00
e5d01edf-e06a-4921-a147-d85aa2c9a28a,21478,1,10:48:00,11:48:00
e5d01edf-e06a-4921-a147-d85aa2c9a28a,21491,1,11:53:00,12:53:00
e5d01edf-e06a-4921-a147-d85aa2c9a28a,21453,1,12:53:00,13:53:00
e5d01edf-e06a-4921-a147-d85aa2c9a28a,21545,1,13:57:00,14:57:00
e5d01edf-e06a-4921-a147-d85aa2c9a28a,21506,1,14:58:00,15:58:00
e5d01edf-e06a-4921-a147-d85aa2c9a28a,21505,1,16:00:00,17:00:00
0586078a-0843-4848-8e46-1f4e403c350b,21269,1,07:19:00,08:19:00
0586078a-0843-4848-8e46-1f4e403c350b,21257,1,08:21:00,09:21:00
0586078a-0843-4848-8e46-1f4e403c350b,21255,1,09:22:00,10:22:00
0586078a-0843-4848-8e46-1f4e403c350b,21247,1,10:23:00,11:23:00
0586078a-0843-4848-8e46-1f4e403c350b,21528,1,11:33:00,12:33:00
0586078a-0843-4848-8e46-1f4e403c350b,21385,1,12:44:00,13:44:00
0586078a-0843-4848-8e46-1f4e403c350b,21473,1,13:46:00,14:46:00
0586078a-0843-4848-8e46-1f4e403c350b,21476,1,14:51:00,15:51:00
0586078a-0843-4848-8e46-1f4e403c350b,21414,1,16:00:00,17:00:00
9a24afe0-bb28-4ca7-a88f-2ff74837d280,21410,1,07:50:00,08:50:00
9a24afe0-bb28-4ca7-a88f-2ff74837d280,21470,1,08:50:00,09:50:00
9a24afe0-bb28-4ca7-a88f-2ff74837d280,21454,1,09:55:00,10:55:00
9a24afe0-bb28-4ca7-a88f-2ff74837d280,21496,1,10:55:00,11:55:00
9a24afe0-bb28-4ca7-a88f-2ff74837d280,21455,1,11:55:00,12:55:00
9a24afe0-bb28-4ca7-a88f-2ff74837d280,21425,1,12:58:00,13:58:00
9a24afe0-bb28-4ca7-a88f-2ff74837d280,21432,1,13:58:00,14:58:00
9a24afe0-bb28-4ca7-a88f-2ff74837d280,21451,1,14:59:00,15:59:00
9a24afe0-bb28-4ca7-a88f-2ff74837d280,21507,1,16:00:00,17:00:00
8dbc441d-bf33-4cd9-9b3d-519e907df118,21301,1,07:27:00,08:27:00
8dbc441d-bf33-4cd9-9b3d-519e907df118,21347,1,08:29:00,09:29:00
8dbc441d-bf33-4cd9-9b3d-519e907df118,21307,1,09:35:00,10:35:00
8dbc441d-bf33-4cd9-9b3d-519e907df118,21361,1,10:36:00,11:36:00
8dbc441d-bf33-4cd9-9b3d-519e907df118,21356,1,11:39:00,12:39:00
8dbc441d-bf33-4cd9-9b3d-519e907df118,21309,1,12:47:00,13:47:00
8dbc441d-bf33-4cd9-9b3d-519e907df118,21326,1,13:55:00,14:55:00
8dbc441d-bf33-4cd9-9b3d-519e907df118,21333,1,14:55:00,15:55:00
8dbc441d-bf33-4cd9-9b3d-519e907df118,21315,1,16:00:00,17:00:00
727fa46f-3cf8-4402-9479-be78c94486d1,21524,1,10:31:00,11:31:00
727fa46f-3cf8-4402-9479-be78c94486d1,21393,1,11:31:00,12:31:00
727fa46f-3cf8-4402-9479-be78c94486d1,21450,1,12:41:00,13:41:00
727fa46f-3cf8-4402-9479-be78c94486d1,21281,1,13:46:00,14:46:00
727fa46f-3cf8-4402-9479-be78c94486d1,21295,1,14:52:00,15:52:00
727fa46f-3cf8-4402-9479-be78c94486d1,21300,1,16:00:00,17:00:00
325e2577-c510-4774-9250-608cfa592bb2,21397,1,08:31:00,09:31:00
325e2577-c510-4774-9250-608cfa592bb2,21391,1,09:31:00,10:31:00
325e2577-c510-4774-9250-608cfa592bb2,21499,1,10:35:00,11:35:00
325e2577-c510-4774-9250-608cfa592bb2,21442,1,11:36:00,12:36:00
325e2577-c510-4774-9250-608cfa592bb2,21485,1,12:40:00,13:40:00
325e2577-c510-4774-9250-608cfa592bb2,21552,1,13:53:00,14:53:00
325e2577-c510-4774-9250-608cfa592bb2,21415,1,14:56:00,15:56:00
325e2577-c510-4774-9250-608cfa592bb2,21480,1,16:00:00,17:00:00
3070798f-d849-4e2e-8596-2a1aae2a60f1,21539,1,08:22:00,09:22:00
3070798f-d849-4e2e-8596-2a1aae2a60f1,21390,1,09:27:00,10:27:00
3070798f-d849-4e2e-8596-2a1aae2a60f1,21387,1,10:35:00,11:35:00
3070798f-d849-4e2e-8596-2a1aae2a60f1,21553,1,11:38:00,12:38:00
3070798f-d849-4e2e-8596-2a1aae2a60f1,21517,1,12:48:00,13:48:00
3070798f-d849-4e2e-8596-2a1aae2a60f1,21503,1,13:52:00,14:52:00
3070798f-d849-4e2e-8596-2a1aae2a60f1,21440,1,14:52:00,15:52:00
3070798f-d849-4e2e-8596-2a1aae2a60f1,21402,1,16:00:00,17:00:00
af62a89b-5e28-44f6-9404-c9fc0be1fda9,21251,1,07:06:00,08:06:00
af62a89b-5e28-44f6-9404-c9fc0be1fda9,21231,1,08:11:00,09:11:00
af62a89b-5e28-44f6-9404-c9fc0be1fda9,21294,1,09:20:00,10:20:00
af62a89b-5e28-44f6-9404-c9fc0be1fda9,21252,1,10:29:00,11:29:00
af62a89b-5e28-44f6-9404-c9fc0be1fda9,21276,1,11:33:00,12:33:00
af62a89b-5e28-44f6-9404-c9fc0be1fda9,21230,1,12:38:00,13:38:00
af62a89b-5e28-44f6-9404-c9fc0be1fda9,21272,1,13:43:00,14:43:00
af62a89b-5e28-44f6-9404-c9fc0be1fda9,21264,1,14:50:00,15:50:00
af62a89b-5e28-44f6-9404-c9fc0be1fda9,21229,1,16:00:00,17:00:00
4705c2db-77dc-449b-8df9-20313652f2f5,21550,1,07:39:00,08:39:00
4705c2db-77dc-449b-8df9-20313652f2f5,21445,1,08:39:00,09:39:00
4705c2db-77dc-449b-8df9-20313652f2f5,21449,1,09:40:00,10:40:00
4705c2db-77dc-449b-8df9-20313652f2f5,21501,1,10:41:00,11:41:00
4705c2db-77dc-449b-8df9-20313652f2f5,21510,1,11:42:00,12:42:00
4705c2db-77dc-449b-8df9-20313652f2f5,21403,1,12:46:00,13:46:00
4705c2db-77dc-449b-8df9-20313652f2f5,21494,1,13:52:00,14:52:00
4705c2db-77dc-449b-8df9-20313652f2f5,21394,1,14:59:00,15:59:00
4705c2db-77dc-449b-8df9-20313652f2f5,21436,1,16:00:00,17:00:00
2279ad67-da51-4e28-b3e6-ed47366a7641,21401,1,08:42:00,09:42:00
2279ad67-da51-4e28-b3e6-ed47366a7641,21488,1,09:50:00,10:50:00
2279ad67-da51-4e28-b3e6-ed47366a7641,21469,1,10:50:00,11:50:00
2279ad67-da51-4e28-b3e6-ed47366a7641,21448,1,11:50:00,12:50:00
2279ad67-da51-4e28-b3e6-ed47366a7641,21422,1,12:50:00,13:50:00
2279ad67-da51-4e28-b3e6-ed47366a7641,21417,1,13:58:00,14:58:00
2279ad67-da51-4e28-b3e6-ed47366a7641,21479,1,14:58:00,15:58:00
2279ad67-da51-4e28-b3e6-ed47366a7641,21538,1,16:00:00,17:00:00
17946610-0889-43e3-a32a-ccbb50fce871,21398,1,07:35:00,08:35:00
17946610-0889-43e3-a32a-ccbb50fce871,21549,1,08:38:00,09:38:00
17946610-0889-43e3-a32a-ccbb50fce871,21498,1,09:42:00,10:42:00
17946610-0889-43e3-a32a-ccbb50fce871,21540,1,10:42:00,11:42:00
17946610-0889-43e3-a32a-ccbb50fce871,21504,1,11:50:00,12:50:00
17946610-0889-43e3-a32a-ccbb50fce871,21405,1,12:56:00,13:56:00
17946610-0889-43e3-a32a-ccbb50fce871,21534,1,13:59:00,14:59:00
17946610-0889-43e3-a32a-ccbb50fce871,21456,1,15:00:00,16:00:00
17946610-0889-43e3-a32a-ccbb50fce871,21516,1,16:00:00,17:00:00
20275602-c319-48af-b208-4882b800100d,21518,1,07:39:00,08:39:00
20275602-c319-48af-b208-4882b800100d,21544,1,08:43:00,09:43:00
20275602-c319-48af-b208-4882b800100d,21533,1,09:44:00,10:44:00
20275602-c319-48af-b208-4882b800100d,21502,1,10:47:00,11:47:00
20275602-c319-48af-b208-4882b800100d,21493,1,11:47:00,12:47:00
20275602-c319-48af-b208-4882b800100d,21472,1,12:47:00,13:47:00
20275602-c319-48af-b208-4882b800100d,21446,1,13:53:00,14:53:00
20275602-c319-48af-b208-4882b800100d,21388,1,14:53:00,15:53:00
20275602-c319-48af-b208-4882b800100d,21482,1,16:00:00,17:00:00
